Código,Nombre,Categoría,Cantidad,Condición,Donador,Fecha-Recibido,Ubicación,Notas
SILLA-001,Silla de oficina ergonómica,Mobiliario,12,Bueno,Empresa ABC S.A.,15/01/2025,Bodega A - Estante 2,Dos unidades con brazos ajustables
MESA-045,Mesa de conferencia rectangular,Mobiliario,2,Excelente,Fundación Esperanza,10/01/2025,Sala de reuniones,"Madera maciza, capacidad 8 personas"
COMP-023,"Laptop HP Pavilion 15""",Computadoras,5,Bueno,Donación anónima,08/01/2025,Oficina 2 - Armario seguro,"Intel i5, 8GB RAM, incluye cargador"
LAP-2024-008,Lápices HB Faber-Castell,Papelería,144,Nuevo,Compra directa,14/01/2025,Almacén general - Estante C3,12 cajas de 12 unidades
PROY-010,Proyector Epson XGA,Electrónica,1,Regular,Colegio San José,12/01/2025,Sala audiovisual,Requiere cambio de lámpara próximamente
ESCR-078,Escritorio ejecutivo con cajones,Mobiliario,3,Excelente,María González,05/01/2025,Bodega B - Sección norte,"Color nogal, 1.40m x 0.70m"
TELEF-015,Teléfonos inalámbricos Panasonic,Electrónica,8,Bueno,Oficina cerrada,20/12/2024,Bodega A - Caja 15,Incluyen bases de carga
LIBR-230,Libros de texto primaria diversos,Libros,85,Regular,Biblioteca municipal,18/12/2024,Bodega C - Estante 1-4,"Matemáticas, lenguaje, ciencias"
SILLA-002,Sillas plegables metálicas,Mobiliario,50,Bueno,Iglesia Comunidad,22/12/2024,Bodega A - Pared oeste,"Color gris, apilables"
IMPRE-012,Impresora láser Brother,Electrónica,2,Excelente,Donación corporativa,28/12/2024,Oficina principal,"Monocromática, con tóner extra"
HERRA-001,Juego de destornilladores Stanley,Herramientas,3,Nuevo,Ferretería López,30/12/2024,Área de mantenimiento,Set de 12 piezas cada uno
ARCH-089,Archivadores de metal 4 gavetas,Mobiliario,6,Bueno,Compra directa,02/01/2025,Bodega B - Esquina sureste,"Color beige, con llaves"
CAFE-005,Cafetera industrial 12 tazas,Cocina,1,Excelente,Donación anónima,07/01/2025,Cocina comunitaria,"Acero inoxidable, 1.8 litros"
PIZA-008,Pizarrones acrílicos con marco,Papelería,4,Nuevo,Proveedor Escolar Plus,09/01/2025,Almacén general - Estante A1,"1.20m x 0.90m, incluyen marcadores"
VENTI-020,Ventiladores de pedestal,Electrónica,10,Bueno,Club Social,11/01/2025,Bodega C - Área central,"Altura ajustable, 3 velocidades"
